Correlation Matrix of Numeric Columns
                            person_age  person_income  person_emp_exp  loan_amnt  loan_int_rate  loan_percent_income  cb_person_cred_hist_length  credit_score  loan_status
person_age                    1.000000       0.193698        0.954412   0.050750       0.013402            -0.043299                    0.861985      0.178432    -0.021476
person_income                 0.193698       1.000000        0.185987   0.242290       0.001510            -0.234177                    0.124316      0.035919    -0.135808
person_emp_exp                0.954412       0.185987        1.000000   0.044589       0.016631            -0.039862                    0.824272      0.186196    -0.020481
loan_amnt                     0.050750       0.242290        0.044589   1.000000       0.146093             0.593011                    0.042969      0.009074     0.107714
loan_int_rate                 0.013402       0.001510        0.016631   0.146093       1.000000             0.125209                    0.018008      0.011498     0.332005
loan_percent_income          -0.043299      -0.234177       -0.039862   0.593011       0.125209             1.000000                   -0.031868     -0.011483     0.384880
cb_person_cred_hist_length    0.861985       0.124316        0.824272   0.042969       0.018008            -0.031868                    1.000000      0.155204    -0.014851
credit_score                  0.178432       0.035919        0.186196   0.009074       0.011498            -0.011483                    0.155204      1.000000    -0.007647
loan_status                  -0.021476      -0.135808       -0.020481   0.107714       0.332005             0.384880                   -0.014851     -0.007647     1.000000
